index,US Equities,Developed ExUS Equity,EM Equity,US Bond,ExUS Bond,Cash
5/31/2005,0.0443195,0.0026337,0.0361323,0.0135171,-0.0285892,0.0023643
6/30/2005,-0.0103365,0.0177024,0.0383984,0.0064102,-0.0103152,0.0022087
7/31/2005,0.0441933,0.0335852,0.0682805,-0.0137354,-0.0079002,0.0023976
8/31/2005,-0.0111039,0.0290423,0.0051355,0.0143103,0.0193853,0.0027344
9/30/2005,0.0016279,0.0448004,0.0954596,-0.0125761,-0.0201503,0.0029437
10/31/2005,-0.0084444,-0.0307909,-0.0664372,-0.0103946,-0.019402,0.0026538
11/30/2005,0.0401528,0.0270294,0.0867714,0.003998,-0.0157269,0.0029254
12/31/2005,-0.0036805,0.0481068,0.0690948,0.0102747,0.0096973,0.0031263
1/31/2006,0.018582,0.063668,0.10848,0.0012995,0.0190609,0.0031683
2/28/2006,-0.0036102,-0.0034396,0.0014862,0.0038838,-0.0081703,0.0031891
3/31/2006,0.0102378,0.0342008,0.0133393,-0.0104526,-0.010646,0.0037537
4/30/2006,0.0032501,0.0516488,0.0811864,-0.0018928,0.031854,0.0038164
5/31/2006,-0.0349037,-0.0359527,-0.1002147,-0.0022967,0.0238452,0.003967
6/30/2006,-0.000602,-0.002589,-0.0047665,0.0013768,-0.0131607,0.0040663
7/31/2006,-0.013451,0.0070833,0.0133408,0.0159363,0.0073724,0.0040799
8/31/2006,0.0304152,0.0290749,0.0285887,0.0171449,0.0101571,0.004119
9/30/2006,0.030254,0.0000871,0.011543,0.0085127,-0.0059386,0.0043632
10/31/2006,0.031279,0.0402066,0.0485787,0.007351,0.010708,0.0038075
11/30/2006,0.0183403,0.0300512,0.0748559,0.0129157,0.0320717,0.0040484
12/31/2006,0.0050944,0.0281553,0.0513942,-0.0066709,-0.0205964,0.0043326
1/31/2007,0.0220324,0.0079841,-0.0127358,-0.0011961,-0.0156298,0.0041494
2/28/2007,-0.0255898,0.0081563,-0.0034086,0.015636,0.0252133,0.0037963
3/31/2007,0.0064665,0.0273305,0.0404578,0.0005871,0.0036095,0.0044312
4/30/2007,0.0468767,0.0468983,0.049897,0.0048385,0.0145847,0.0042512
5/31/2007,0.0329321,0.0228498,0.0529069,-0.0098174,-0.0214457,0.0041083
6/30/2007,-0.0124643,0.0011268,0.0480736,-0.0054495,-0.0058289,0.004099
7/31/2007,-0.0178259,-0.0127112,0.0587547,0.0084919,0.0296628,0.0037557
8/31/2007,0.016173,-0.016801,-0.0268256,0.0148933,0.0146594,0.004561
9/30/2007,0.0480045,0.0549905,0.1034731,0.0078168,0.0316825,0.0035709
10/31/2007,0.036835,0.0446006,0.1067283,0.0097343,0.0204869,0.0030063
11/30/2007,-0.0364654,-0.0396693,-0.0715732,0.0222087,0.0222709,0.0034284
12/31/2007,-0.0068161,-0.0193589,0.0060126,0.0020174,-0.0059895,0.0028028
1/31/2008,-0.0820989,-0.0888579,-0.1297895,0.0197494,0.0355883,0.0034046
2/29/2008,-0.0162542,0.0216598,0.0728378,-0.0026204,0.0274735,0.0011832
3/31/2008,0.0002414,-0.0124049,-0.0531245,0.0090872,0.0336425,0.0021061
4/30/2008,0.0491077,0.0539926,0.0789565,-0.0053428,-0.0325392,0.001142
5/31/2008,0.0330709,0.0190613,0.0140991,-0.0108012,-0.0131485,0.0007278
6/30/2008,-0.066908,-0.077279,-0.1035631,-0.00261,0.0025048,0.0017734
7/31/2008,-0.0134814,-0.0369594,-0.0313494,-0.0019264,0.0018647,0.0016542
8/31/2008,0.0132867,-0.0373615,-0.0786603,0.0108541,-0.0310315,0.0013241
9/30/2008,-0.1096547,-0.1458054,-0.1871419,-0.006455,-0.0244475,0.0022146
10/31/2008,-0.1740104,-0.2096883,-0.2748354,-0.0305524,-0.0386106,0.0001299
11/30/2008,-0.081662,-0.051459,-0.0710512,0.0391172,0.0290298,0.0004317
12/31/2008,0.0091239,0.0545301,0.0903349,0.0479897,0.0799975,0.0000484
1/31/2009,-0.0539896,-0.089259,-0.0658244,-0.0177618,-0.0450311,-0.0000361
2/28/2009,-0.0777446,-0.0985236,-0.0539312,-0.0197209,-0.0315371,0.0001299
3/31/2009,0.0856273,0.0662655,0.1420187,0.0285961,0.0278844,0.0001656
4/30/2009,0.0882887,0.130087,0.1751231,0.0092603,0.0085295,0.0001901
5/31/2009,0.0535554,0.1308582,0.1844188,0.0088903,0.0549622,0.0000179
6/30/2009,0.0120001,-0.007604,-0.0119132,0.0044044,0.002277,0.0000939
7/31/2009,0.0683073,0.0923218,0.1100281,0.028088,0.0248866,0.0001599
8/31/2009,0.0172591,0.0504697,0.0011056,0.0124914,0.022647,0.0001901
9/30/2009,0.0441858,0.0432808,0.0933435,0.0165382,0.0274349,0.00015
10/31/2009,-0.0067463,-0.0160928,0.0017398,0.0083047,0.0041695,0.0000707
11/30/2009,0.0632086,0.0243954,0.0424533,0.0164771,0.0346582,0.0000285
12/31/2009,0.025987,0.0162715,0.043704,-0.0236822,-0.0543628,-0.00001
