Name,SecId,Enhanced Index,Index Fund
CBOE Vest Dividend Aristocrats TgtIncA,F00000YY5I,No,Yes
CBOE Vest Dividend Aristocrats TgtIncC,F00000YY5J,No,Yes
CBOE Vest Dividend AristocratsTgtIncInv,F00000YY5L,No,Yes
CBOE Vest Dividend AristocratsTgtIncIns,F00000YY5M,No,Yes
CBOE Vest Dividend Aristocrats TgtIncY,F00000ZGXI,No,Yes
Allspring Bloomberg US Agg ex-Cor Port,F00000Z0BG,No,Yes
Allspring High Yield Corporate Bd,F00000Z0BH,No,Yes
Allspring Investment Gr Cor Bd,F00000Z0BI,No,Yes
Allspring Emerging Markets Bond Por,F00000Z0BQ,No,Yes
JNL/Mellon Real Estate Sect A,F00000Z283,No,Yes
JNL/Mellon Real Estate Sect I,F00000Z284,No,Yes
JNL/Mellon US Stock Market Index I,F00000Z28N,No,Yes
JNL/Mellon US Stock Market Index A,F00000Z28O,No,Yes
Vanguard Real Estate II Index,F00000ZA3X,No,Yes
Fidelity? Short-Term Bond Index,F00000ZCY3,No,Yes
Allspring U.S. REIT Portfolio,F00000Z0BO,No,Yes
JNL S&P 500 Index I,F00000Z27W,No,Yes
JNL/Mellon Consumers Staples Sect A,F00000Z27X,No,Yes
JNL/Mellon Consumers Staples Sect I,F00000Z27Y,No,Yes
JNL/Mellon Materials Sect A,F00000Z27Z,No,Yes
JNL/Mellon Materials Sect I,F00000Z280,No,Yes
Redwood AlphaFactor Tactical Intl I,F00000ZEWQ,No,Yes
Redwood AlphaFactor Tactical Intl N,F00000ZEWR,No,Yes
Fidelity? SAI International Value Index,F00000ZJ6B,No,Yes
Fidelity? SAI US Value Index,F00000ZJ6C,No,Yes
SEI Large Cap Index F (SIMT),F00000ZQQE,No,Yes
Mutual of America Small Cap Equity Index,F0000104DN,No,Yes
Fidelity? Series Large Cp Grwth Idx,F000010M56,No,Yes
Fidelity? Series Government Bd Idx,F000010M57,No,Yes
MassMutual Select TRP US Treas L/T Idx I,F00000ZOLS,No,Yes
VanEck Morningstar Wide Moat I,F00000ZF1A,No,Yes
VanEck Morningstar Wide Moat Z,F00000ZF1B,No,Yes
Schwab ? US Large-Cap Growth Idx,F00000ZI0T,No,Yes
Schwab ? US Large-Cap Value Index,F00000ZI0U,No,Yes
Schwab ? US Mid-Cap Index,F00000ZI0V,No,Yes
JNL/Morningstar Wide Moat Index A,F000010GK2,No,Yes
JNL/Morningstar Wide Moat Index I,F000010GK3,No,Yes
Touchstone Anti-Benchmark? Int Cor EqIns,F000010TAU,No,Yes
Touchstone Anti-Benchmark? Int Cor Eq Y,F000010TAV,No,Yes
Touchstone Anti-Benchmark US Core Eq I,F000010TAW,No,Yes
Touchstone Anti-Benchmark US Core Eq Y,F000010TAX,No,Yes
Touchstone Anti-Benchmark US Core Eq A,F000015ZR3,No,Yes
Touchstone Anti-Benchmark US Core Eq C,F000015ZR4,No,Yes
Fidelity? SAI Em Mkts Lw Vol Idx,F0000119RT,No,Yes
Fidelity? Series Total Market Index,F000011YJJ,No,Yes
Fidelity? Municipal Bond Index,F000013GDG,No,Yes
Fidelity? SAI Municipal Bond Index,F000013GDH,No,Yes
Fidelity? Mid Cap Growth Index,F000013GDI,No,Yes
Fidelity? Mid Cap Value Index,F000013GDJ,No,Yes
Fidelity? Small Cap Growth Index,F000013GDK,No,Yes
Fidelity? Small Cap Value Index,F000013GDL,No,Yes
Mutual of America Catholic Values Idx Cl,F000014S6D,No,Yes
Fidelity? SAI Emerging Mkts Val Idx,F000014S6F,No,Yes
Fidelity? SAI International Mtm Idx,F000014S6H,No,Yes
Fidelity? SAI International Qly Idx,F000014S6G,No,Yes
Fidelity? International Bond Index,F000013XXX,No,Yes
Fidelity? ZERO Extended Market Index,F000010QVB,No,Yes
Fidelity? ZERO Large Cap Index,F000010QVC,No,Yes
Fidelity? Series Bond Index,F000011X4G,No,Yes
FRC Founders Index,F000014HA7,No,Yes
Vanguard Total Intl Bd II Idx Investor,F000014JGM,No,Yes
Vanguard Total Intl Bd II Idx Insl,F000014JGN,No,Yes
Invesco Nasdaq 100 Index R6,F000015J0C,No,Yes
Legal & General Global Dvlpd Eq Idx Inst,F000015T50,No,Yes
T. Rowe Price US Limited Dtn TIPS Inv,F000015LJX,No,Yes
T. Rowe Price US Limited Dtn TIPS I,F000015LK6,No,Yes
JNL/Morningstar PtchBk Lstd Pr Eq Idx A,F00001682Q,No,Yes
JNL/Morningstar PtchBk Lstd Pr Eq Idx I,F00001682R,No,Yes
Fidelity? SAI Japan Stock Index,F000016M9O,No,Yes
Fidelity? SAI International Sm Cp Idx,F000016M9N,No,Yes
Fidelity? Series Intl Dev Mkts Bd Idx,F00001744U,No,Yes
Fidelity? Srs 0-5 Yr Inf-Ptctd Bd Idx,F00001744V,No,Yes
Fidelity? Srs 5+ Yr Inf-Ptctd Bd Idx,F00001744W,No,Yes
Catholic Rspnsbl Invst Equity Idx Ins,F00001BQAK,No,Yes
State Street Intl Dev Eq Idx,F00001D4RL,No,Yes
Fidelity? Sustainability Bond Index,F0000102BC,No,Yes
Knights of Columbus U.S. All Cap Idx I,F000013WMW,No,Yes
JNL Mid Cap Index I,F00001682G,No,Yes
JNL Small Cap Index I,F00001682H,No,Yes
JNL Bond Index I,F00001682I,No,Yes
JNL International Index I,F00001682J,No,Yes
JNL Emerging Markets Index I,F00001682K,No,Yes
Fidelity? Series International Index,F000010M50,No,Yes
Fidelity? Series Treasury Bill Index,F000010M52,No,Yes
Nationwide Bond Portfolio R6,F000016L3E,No,Yes
iShares US Long Credit Bond Index,F00001D248,No,Yes
iShares US Intermediate Credit Bond Idx,F00001D249,No,Yes
iShares US Long Government Bond Idx,F00001D24A,No,Yes
iShares US Intermediate Gov Bd Idx,F00001D24B,No,Yes
iShares US Securitized Bond Index,F00001D24C,No,Yes
ProFunds Short Bitcoin Str ProFd Inv,F00001DPQ0,No,Yes
Victory S&P 500 Index Y,FOUSA00B2A,No,Yes
Victory S&P 500 Index A,FOUSA00DYI,No,Yes
Victory S&P 500 Index R,FOUSA05H19,No,Yes
Catholic Rspnsbl Invstmnts Small-Cap Ins,F00001BQ9Y,No,Yes
Sphere 500 Fossil Free,F00001B6VM,No,Yes
iShares US Aggregate Bond Index Inv A,F00000LXVH,No,Yes
iShares US Aggregate Bond Index Instl,F00000LXVI,No,Yes
iShares US Aggregate Bond Index Inv P,F000010EBM,No,Yes
iShares US Aggregate Bond Index K,FOUSA00B54,No,Yes
Hennessy Gas Utility Institutional,F00000YBYU,No,Yes
Hennessy Gas Utility Investor,FOUSA00B75,No,Yes
DWS Equity 500 Index R6,F00000YRL1,No,Yes
DWS Equity 500 Index Inst,FOUSA00B7Y,No,Yes
DWS Equity 500 Index S,FOUSA00BMO,No,Yes
Northern US Treasury Index,FOUSA00BDO,No,Yes
MassMutual Balanced I,F00000S61F,No,Yes
MassMutual Balanced R3,F00000S61G,No,Yes
MassMutual Balanced R4,F00000S61H,No,Yes
MassMutual Balanced R5,FOUSA00BRD,No,Yes
MassMutual Balanced A,FOUSA00HIJ,No,Yes
MassMutual Balanced Adm,FOUSA00HNQ,No,Yes
MassMutual Balanced Svc,FOUSA00K4C,No,Yes
Vanguard Interm-Term Bond Index Ins Plus,F00000MPYM,No,Yes
Vanguard Interm-Term Bond Index Inv,FOUSA00BB1,No,Yes
Vanguard Interm-Term Bond Index Adm,FOUSA02TYB,No,Yes
Vanguard Interm-Term Bond Index I,FOUSA05GP1,No,Yes
Columbia Large Cap Index Inst2,F00000P0PD,No,Yes
Columbia Large Cap Index Inst3,F00000XEE7,No,Yes
Columbia Large Cap Index A,FOUSA00BHB,No,Yes
Columbia Large Cap Index Inst,FOUSA00BP5,No,Yes
Vanguard Emerging Mkts Stock Idx InsPlus,F00000JXVQ,No,Yes
Vanguard Emerging Mkts Stock Idx Inv,FOUSA00BYL,No,Yes
Vanguard Emerging Mkts Stock Idx Instl,FOUSA00P1W,No,Yes
